Title,Date,Time,Channel,Viewers
VOETBAL WK NLD-ESP F,11-07-2010,2016,Ned1,8.513.000
VOETBAL WK URY-NLD HF,06-07-2010,2019,Ned1,8.501.000
VOETBAL WK CMR-NLD,24-06-2010,2022,Ned1,7.185.000
VOETBAL WK NLD-BRA KF,02-07-2010,1549,Ned1,7.031.000
VOETBAL WK NLD-SVK,28-06-2010,1548,Ned1,6.072.000
VOETBAL WK HUL,11-07-2010,2311,Ned1,5.773.000
VOETBAL WK NLD-JPN,19-06-2010,1321,Ned1,5.707.000
VOETBAL WK NB,06-07-2010,2229,Ned1,5.661.000
SCHAATSEN OS 10KM HEREN,23-02-2010,2105,Ned1,5.171.000
VOETBAL WK DEU-ESP HF,07-07-2010,2021,Ned1,5.167.000
SCHAATSEN OS NB,23-02-2010,2250,Ned1,5.068.000
SCHAATSEN OS 5KM HEREN,13-02-2010,2219,Ned1,4.714.000
BOER ZOEKT VROUW,19-12-2010,2022,Ned1,4.230.000
VOETBAL WK NLD-DNK,14-06-2010,1321,Ned1,4.166.000
SCHAATSEN OS TEAMACHTERVOLGING HEREN HF,26-02-2010,2309,Ned1,3.959.000
SNOWBOARDEN OS REUZENSLALOM DAMES F,26-02-2010,2243,Ned1,3.921.000
SCHAATSEN OS TEAMACHTERVOLGING DAMES KF,26-02-2010,2224,Ned1,3.791.000
SCHAATSEN OS 3KM DAMES,14-02-2010,2308,Ned1,3.711.000
VOETBAL WK URY-DEU TF,10-07-2010,2019,Ned1,3.654.000
VOETBAL WK BRA-CIV,20-06-2010,2022,Ned1,3.637.000
VOETBAL WK ARG-DEU KF,03-07-2010,1552,Ned1,3.636.000
VOETBAL WK DEU-AUS,13-06-2010,2021,Ned1,3.613.000
SCHAATSEN OS,23-02-2010,2050,Ned1,3.532.000
VOETBAL WK PRY-ESP KF,03-07-2010,2020,Ned1,3.497.000
VOETBAL WK URY-GHA KF,02-07-2010,2021,Ned1,3.445.000
VOETBAL WK BRA-CHL,28-06-2010,2021,Ned1,3.434.000
JOURNAAL 20 UUR,18-04-2010,1959,Ned1,3.431.000
VOETBAL WK VB,11-07-2010,1924,Ned1,3.399.000
VOETBAL WK ESP-PRT,29-06-2010,2023,Ned1,3.360.000
JOURNAAL 18.30 UUR,02-07-2010,1835,Ned1,3.308.000
STUDIO SPORT EREDIVISIE,24-10-2010,1858,Ned1,3.280.000
VOETBAL WK CMR-DNK,19-06-2010,2022,Ned1,3.261.000
SCHAATSEN OS TEAMACHTERVOLGING HEREN KF,26-02-2010,2124,Ned1,3.219.000
VOETBAL WK BRA-PRK,15-06-2010,2021,Ned1,3.111.000
VOICE OF HOLLAND,15-10-2010,2030,RTL4,3.079.000
VOICE OF HOLLAND LIVE,12-11-2010,2037,RTL4,3.060.000
IK HOU VAN HOLLAND,04-12-2010,2038,RTL4,3.045.000
VOETBAL WK ENG-USA,12-06-2010,2019,Ned1,3.043.000
VOETBAL WK ARG-MEX,27-06-2010,2022,Ned1,3.039.000
VOICE OF HOLLAND THE BATTLE,29-10-2010,2029,RTL4,3.032.000
VOETBAL WK ENG-DZA,18-06-2010,2021,Ned1,2.937.000
ALL YOU NEED IS LOVE,24-12-2010,2028,RTL4,2.929.000
VOETBAL WK ESP-HND,21-06-2010,2023,Ned1,2.851.000
SCHAATSEN OS 1000M DAMES,18-02-2010,2156,Ned1,2.849.000
VOETBAL WK GHA-DEU,23-06-2010,2022,Ned1,2.848.000
USHI &amp; LOESIE,23-10-2010,1959,RTL4,2.844.000
VOETBAL WK ITA-PRY,14-06-2010,2022,Ned1,2.797.000
EENVANDAAG,02-07-2010,1847,Ned1,2.762.000
VOICE OF HOLLAND THE SING OFF,05-11-2010,2226,RTL4,2.751.000
VOETBAL WK FRA-MEX,17-06-2010,2021,Ned1,2.746.000
